sharedaddress,uniqueaddress,shortpluscode,Consideration,Market_Value,Acquisition_Date,Completion_Date
"2, Colloway, Port St. Mary, IM9 5PP",,36FW+PG6,232500.0,232500.0,2007-10-04,2008-05-29
"Cronk View, Glen Chass, Port St. Mary, IM9 5PN",,36FW+QQ2,310000.0,310000.0,2008-06-25,2008-09-10
"Colloway Cottage, Glen Chass Road, Port St. Mary, IM9 5PW",,36FW+RHC,170000.0,170000.0,2021-07-29,2021-12-22
"Sunnyside, The Howe, Port St. Mary, IM9 5PR",,36GW+299,380000.0,380000.0,2018-12-07,2019-03-25
"Ny Croityn, Howe Road, Port St. Mary, IM9 5LB",,36GW+3R6,315000.0,315000.0,2019-04-11,2019-07-29
"Highfield, Howe Road, Port St. Mary, IM9 5LB",,36GX+7PV,365000.0,365000.0,2007-07-16,2008-02-18
"Upper Ballahane Cottage, Hatters Lane, Port St. Mary, IM9 5LE",,36HV+4FX,210000.0,210000.0,2017-05-31,2018-02-19
"The Old Barn, The Hatters Lane, Port St. Mary, IM9 5LE",,36HV+5HG,300000.0,300000.0,2007-06-21,2008-01-16
"Creg Lea, Beacon Croft Lane, Port Erin, IM9 6JN",,36HV+V99,225000.0,225000.0,2016-01-28,2017-11-30
"Creg Lea, Beacon Croft Lane, Port Erin, IM9 6JN",,36HV+V99,340000.0,340000.0,2022-08-03,2022-09-30
"Glendown Cottage, Truggan Road, Port St. Mary, IM9 5LD",,36HW+MPP,310000.0,310000.0,2017-03-20,2017-07-12
"Oakleigh House, St Mary'S Road, Port Erin, IM9 6JP",,36HW+W9C,3677.0,310000.0,2013-10-07,2014-01-14
"2, Erin View, Port Erin, IM9 6FG",,36HW+WVR,342450.0,342450.0,2008-10-10,2009-04-16
"2, Erin View, Port Erin, IM9 6FG",,36HW+WVR,379000.0,379000.0,2015-01-12,2015-07-24
"3, Erin View, Port Erin, IM9 6FG",,36HW+XQ2,337950.0,337950.0,2008-10-10,2009-04-09
"3, Erin View, Port Erin, IM9 6FG",,36HW+XQ2,33500.0,335000.0,2020-07-22,2020-12-09
"3, Erin View, Port Erin, IM9 6FG",,36HW+XQ2,370950.0,370950.0,2021-02-12,2021-03-30
"Glenlea Lodge, Truggan Road, Port St. Mary, IM9 5LD",,36HX+P29,767550.0,767550.0,2020-07-24,2020-12-01
"Glenlea Lodge, Truggan Road, Port St. Mary, IM9 5LD",,36HX+P29,880000.0,880000.0,2022-08-31,2022-09-21
"Fairway, The Darrag, Port Erin, IM9 6JB",,36JP+XJW,175000.0,175000.0,2016-12-08,2017-04-26
"B House, The Darragh, Port Erin, IM9 6JB",,36JP+XP2,360000.0,360000.0,2014-05-29,2014-11-03
"B House, The Darragh, Port Erin, IM9 6JB",,36JP+XP2,220000.0,220000.0,2015-03-20,2015-05-20
"B House, The Darragh, Port Erin, IM9 6JB",,36JP+XP2,255000.0,255000.0,2019-07-24,2019-08-23
"Oakleigh, The Darragh, Port Erin, IM9 6JB",,36JP+XP5,115000.0,330000.0,1999-03-15,2018-11-16
"Mull House, Bay Mount, Port Erin, IM9 6JQ",,36JQ+93X,920000.0,920000.0,2007-03-30,2007-11-17
"Hillside, St Marys Road, Port Erin, IM9 6JJ",,36JQ+HW5,56500.0,200000.0,2013-01-25,2013-05-14
"Rosemount, St Mary'S Road, Port Erin, IM9 6JJ",,36JQ+HX3,190000.0,190000.0,2019-06-28,2020-07-30
"Yn Darragh, Ballafurt Road, Port Erin, IM9 6JB",,36JQ+R2Q,375000.0,375000.0,2016-11-18,2017-03-15
"Erin Brae, St Marys Road, Port Erin, IM9 6JG",,36JQ+RMV,140000.0,140000.0,2020-05-14,2020-07-17
"May Cottage, St Marys Road, Port Erin, IM9 6JG",,36JQ+VCQ,187500.0,187500.0,2007-04-18,2007-10-31
"May Cottage, St Marys Road, Port Erin, IM9 6JG",,36JQ+VCQ,275000.0,275000.0,2009-07-16,2009-08-25
"Southolme, Saint Marys Road, Port Erin, IM9 6JG",,36JQ+VFQ,225000.0,225000.0,2012-03-27,2012-05-23
"Southolme, Saint Marys Road, Port Erin, IM9 6JG",,36JQ+VFQ,223718.0,223718.0,2016-02-26,2016-04-29
"Southolme, Saint Marys Road, Port Erin, IM9 6JG",,36JQ+VFQ,0.0,1000.0,2016-02-26,2016-12-14
"Southolme, Saint Marys Road, Port Erin, IM9 6JG",,36JQ+VFQ,199000.0,199000.0,2019-10-25,2020-02-13
"Southolme, Saint Marys Road, Port Erin, IM9 6JG",,36JQ+VFQ,1000.0,1000.0,2019-10-25,2020-02-17
"Erskine, Saint Marys Road, Port Erin, IM9 6JG",,36JQ+VH9,245000.0,245000.0,2019-09-20,2019-10-30
"Glenanne, St Marys Road, Port Erin, IM9 6JG",,36JQ+WC2,270000.0,270000.0,2020-11-05,2021-02-11
"Hillcrest, 2, Saint Marys Road, Port Erin, IM9 6JG",,36JQ+WJG,200000.0,200000.0,2017-11-24,2018-01-30
"Struan Cottage, St Mary'S Road, Port Erin, IM9 6JG",,36JQ+WRC,225000.0,225000.0,2017-04-21,2017-07-25
"Struan Cottage, St Mary'S Road, Port Erin, IM9 6JG",,36JQ+WRC,265000.0,265000.0,2018-12-18,2021-05-04
"Woodlea, 14, Ballafurt Close, Port Erin, IM9 6HS",,36JQ+X5F,300000.0,0.0,2006-02-24,2006-03-31
"Woodlea, 14, Ballafurt Close, Port Erin, IM9 6HS",,36JQ+X5F,275000.0,275000.0,2008-05-30,2008-09-23
"Woodlea, 14, Ballafurt Close, Port Erin, IM9 6HS",,36JQ+X5F,328000.0,328000.0,2021-06-28,2021-08-18
"Digby Cottage, St Mary'S Road, Port Erin, IM9 6JG",,36JQ+XFQ,260000.0,260000.0,2020-11-10,2021-09-15
"White Lodge, St. Mary'S Road, Port Erin, IM9 6JJ",,36JR+G65,345000.0,345000.0,2019-07-19,2020-09-24
"Lown House, 28, Droghadfayle Park, Port Erin, IM9 6EP",,36JR+JJ3,400000.0,400000.0,2014-09-12,2015-02-27
"Lown House, 28, Droghadfayle Park, Port Erin, IM9 6EP",,36JR+JJ3,460000.0,460000.0,2020-10-12,2021-04-22
"18, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+PPR,245000.0,245000.0,2015-04-09,2015-09-25
"20, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+RHP,240000.0,240000.0,2018-09-18,2019-02-23
"17, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+RR9,216000.0,216000.0,2007-08-29,2008-01-15
"16, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+VV5,198000.0,198000.0,2010-06-04,2010-10-15
"15, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+VWV,235000.0,235000.0,2018-09-28,2019-03-29
"22, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+WPG,1.0,295000.0,2007-09-24,2008-04-19
"Grianane, 14, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+WXV,125000.0,125000.0,2021-07-13,2021-09-15
"24, Sunnydale Avenue, Port Erin, IM9 6EU",,36JR+XMF,238500.0,238500.0,2007-12-10,2008-07-12
"Erinport, St Marys Road, Port Erin, IM9 6JL",,36JV+5JQ,0.0,130000.0,2007-02-21,2007-09-13
"Whinbrae, Saint Marys Road, Port Erin, IM9 6JL",,36JV+78H,200000.0,200000.0,2017-11-24,2018-01-18
"Whinbrae, Saint Marys Road, Port Erin, IM9 6JL",,36JV+78H,400000.0,400000.0,2022-02-07,2022-04-01
"New Bungalow, St Marys Road, Port Erin, IM9 6JL",,36JV+7VX,435000.0,435000.0,2020-06-09,2020-07-28
"Creg Mooar, St Marys Road, Port Erin, IM9 6JL",,36JV+85R,345000.0,345000.0,2017-05-25,2017-06-30
"Wayside, St Marys Road, Port Erin, IM9 6JL",,36JV+8HH,164000.0,164000.0,2016-07-14,2016-10-17
"Rose Cottage, St Marys Road, Port Erin, IM9 6JL",,36JV+8M4,255000.0,255000.0,2010-11-19,2014-10-27
"Pondicherry, St Mary'S Road, Port Erin, IM9 6JL",,36JV+92R,150000.0,150000.0,2022-08-12,2022-09-07
"7, Shirragh Way, Port Erin, IM9 6FB",,36JV+CX9,250000.0,250000.0,2011-04-26,2011-11-25
"7, Shirragh Way, Port Erin, IM9 6FB",,36JV+CX9,325000.0,325000.0,2022-02-01,2022-02-18
"5, Shirragh Way, Port Erin, IM9 6FB",,36JV+CXF,190000.0,0.0,2006-03-31,2006-09-14
"1, Shirragh Way, Port Erin, IM9 6FB",,36JV+FVH,225000.0,225000.0,2007-01-17,2007-09-24
"1, Shirragh Way, Port Erin, IM9 6FB",,36JV+FVH,247500.0,247500.0,2013-07-19,2013-12-04
"1, Shirragh Way, Port Erin, IM9 6FB",,36JV+FVH,355000.0,355000.0,2022-08-23,2022-10-11
"38, Droghadfayle Park, Port Erin, IM9 6EP",,36JV+G49,525000.0,525000.0,2010-08-18,2010-11-18
"38, Droghadfayle Park, Port Erin, IM9 6EP",,36JV+G49,410000.0,410000.0,2014-12-01,2015-02-16
"49, Droghadfayle Park, Port Erin, IM9 6EP",,36JV+GP2,480000.0,480000.0,2018-12-14,2019-10-05
"42, Droghadfayle Road, Port Erin, IM9 6EN",,36JV+HRW,359950.0,359950.0,2021-10-18,2021-12-08
"40, Droghadfayle Road, Port Erin, IM9 6EN",,36JV+JP3,223000.0,223000.0,2017-08-22,2017-10-23
"29, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+MFX,265000.0,0.0,2006-07-27,2006-10-30
"29, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+MFX,282500.0,282500.0,2020-08-27,2020-11-02
"35, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+Q66,250000.0,250000.0,2016-07-20,2016-10-25
"35, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+Q66,378000.0,378000.0,2020-12-17,2021-03-09
"35, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+Q66,220000.0,450000.0,2022-10-03,2022-11-10
"33, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+Q75,60000.0,200000.0,2017-08-04,2017-10-25
"33, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+Q75,285000.0,285000.0,2020-08-19,2020-09-04
"43, Droghadfayle Road, Port Erin, IM9 6EN",,36JV+QRF,363000.0,363000.0,2019-10-31,2020-04-23
"25, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+RCM,329000.0,329000.0,2020-02-07,2020-10-06
"25, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+RCM,390000.0,390000.0,2022-01-04,2022-03-09
"27, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+RGM,304950.0,0.0,2006-03-27,2006-06-02
"27, Droghadfayle Park, Port Erin, IM9 6EW",,36JV+RGM,320000.0,320000.0,2017-02-06,2017-02-28
"36, Droghadfayle Road, Port Erin, IM9 6EN",,36JV+RJG,390000.0,390000.0,2008-04-11,2008-08-29
"18, Droghadfayle Park, Port Erin, IM9 6EP",,36JV+V3F,260000.0,390000.0,2022-08-01,2022-11-24
"37, Droghadfayle Road, Port Erin, IM9 6EN",,36JV+WWV,359950.0,359950.0,2020-09-24,2020-11-26
"13, Sunnydale Avenue, Port Erin, IM9 6EU",,36JV+X2M,196000.0,196000.0,2011-04-08,2011-09-21
"4, Erin View, Port Erin, IM9 6FG",,36JW+2P2,335950.0,335950.0,2008-10-03,2009-04-09
"4, Erin View, Port Erin, IM9 6FG",,36JW+2P2,25000.0,355000.0,2017-12-08,2018-01-24
"4, Erin Rise, Port Erin, IM9 6FF",,36JW+2X2,284500.0,0.0,2005-10-14,2006-02-14
"4, Erin Rise, Port Erin, IM9 6FF",,36JW+2X2,430000.0,430000.0,2020-11-27,2020-12-17
"Upton, St Marys Road, Port Erin, IM9 6JP",,36JW+33P,355000.0,355000.0,2023-04-27,2023-06-23
"5, Truggan Close, Port Erin, IM9 6JR",,36JW+3H5,425000.0,425000.0,2011-11-28,2012-04-26
"1, Erin View, Port Erin, IM9 6FG",,36JW+3RM,80000.0,80000.0,2008-12-18,2009-04-16
"1, Erin View, Port Erin, IM9 6FG",,36JW+3RM,418000.0,418000.0,2009-05-06,2009-08-17
"3, Truggan Close, Port Erin, IM9 6JR",,36JW+4FM,0.25,500000.0,2018-04-13,2018-08-21
"3, Truggan Close, Port Erin, IM9 6JR",,36JW+4FM,520000.0,520000.0,2019-12-03,2020-01-20
"57, Erin Way, Port Erin, IM9 6EF",,36JW+4WP,217500.0,217500.0,2014-10-30,2015-02-13
"57, Erin Way, Port Erin, IM9 6EF",,36JW+4WP,280000.0,280000.0,2022-04-28,2022-06-20
"55, Erin Way, Port Erin, IM9 6EF",,36JW+4XM,160950.0,0.0,2005-11-07,2006-02-10
"55, Erin Way, Port Erin, IM9 6EF",,36JW+4XM,193000.0,193000.0,2016-10-14,2017-02-08
"55, Erin Way, Port Erin, IM9 6EF",,36JW+4XM,199950.0,199950.0,2019-03-29,2019-05-18
"New House, St Marys Road, Port Erin, IM9 6JL",,36JW+62M,420000.0,420000.0,2013-02-28,2013-05-15
"New House, St Marys Road, Port Erin, IM9 6JL",,36JW+62M,397000.0,397000.0,2015-12-22,2015-12-31
"New House, St Marys Road, Port Erin, IM9 6JL",,36JW+62M,400000.0,400000.0,2020-01-09,2020-02-25
"Hanesyde, St Mary'S Road, Port Erin, IM9 6JL",,36JW+643,180000.0,0.0,2005-09-23,2005-11-08
"Hanesyde, St Mary'S Road, Port Erin, IM9 6JL",,36JW+643,290000.0,290000.0,2016-04-27,2016-08-12
"62, Erin Way, Port Erin, IM9 6EF",,36JW+7PP,195950.0,195950.0,2020-07-31,2020-12-04
"64, Erin Way, Port Erin, IM9 6EF",,36JW+7PR,170000.0,170000.0,2015-11-13,2016-05-18
"60, Erin Way, Port Erin, IM9 6EF",,36JW+7QC,130000.0,0.0,2005-06-14,2006-08-18
"54, Erin Way, Port Erin, IM9 6EF",,36JW+7V8,183750.0,183750.0,2015-12-18,2016-06-06
"54, Erin Way, Port Erin, IM9 6EF",,36JW+7V8,184500.0,184500.0,2019-06-24,2019-08-02
"54, Erin Way, Port Erin, IM9 6EF",,36JW+7V8,235000.0,235000.0,2021-09-07,2021-10-18
"52, Erin Way, Port Erin, IM9 6EF",,36JW+7W7,10000.0,150000.0,2010-11-16,2011-05-25
"66, Erin Way, Port Erin, IM9 6EF",,36JW+8M4,0.25,150000.0,2012-07-18,2013-01-14
"66, Erin Way, Port Erin, IM9 6EF",,36JW+8M4,265000.0,265000.0,2021-05-27,2021-07-28
"9, Shirragh Way, Port Erin, IM9 6FB",,36JW+93M,245000.0,245000.0,2009-09-16,2010-01-06
"9, Shirragh Way, Port Erin, IM9 6FB",,36JW+93M,240000.0,240000.0,2019-05-24,2019-07-29
"11, Shirragh Way, Port Erin, IM9 6FB",,36JW+94C,290000.0,290000.0,2022-08-03,2022-11-24
"74, Erin Way, Port Erin, IM9 6EF",,36JW+9HF,253500.0,253500.0,2017-06-19,2018-03-19
"70, Erin Way, Port Erin, IM9 6EF",,36JW+9J2,178000.0,178000.0,2015-11-11,2016-04-18
"8, Shirragh Way, Port Erin, IM9 6FA",,36JW+C8X,1.0,0.0,2005-09-13,2006-11-09
"4, Shirragh Way, Port Erin, IM9 6FA",,36JW+F5F,190000.0,190000.0,2017-02-16,2017-07-17
"4, Shirragh Way, Port Erin, IM9 6FA",,36JW+F5F,290000.0,290000.0,2017-09-27,2017-10-23
"38, Erin Crescent, Port Erin, IM9 6FD",,36JW+FM5,195000.0,195000.0,2014-05-23,2014-10-27
"38, Erin Crescent, Port Erin, IM9 6FD",,36JW+FM5,202000.0,202000.0,2017-12-18,2018-03-29
"36, Erin Crescent, Port Erin, IM9 6FD",,36JW+FP6,189000.0,189000.0,2008-02-11,2008-06-27
"36, Erin Crescent, Port Erin, IM9 6FD",,36JW+FP6,200000.0,200000.0,2012-03-01,2012-07-18
"36, Erin Crescent, Port Erin, IM9 6FD",,36JW+FP6,189000.0,189000.0,2018-10-12,2018-11-06
"36, Erin Crescent, Port Erin, IM9 6FD",,36JW+FP6,219998.0,219998.0,2021-02-05,2022-02-07
"36, Erin Crescent, Port Erin, IM9 6FD",,36JW+FP6,257000.0,257000.0,2022-03-10,2023-01-17
"34, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPM,30000.0,190000.0,2007-10-24,2008-04-25
"34, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPM,192000.0,192000.0,2011-12-15,2012-02-21
"34, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPM,195000.0,195000.0,2016-11-04,2017-02-17
"34, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPM,170000.0,170000.0,2017-02-10,2017-03-03
"Road At, 32, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPX,0.0,0.0,2006-04-21,2007-03-05
"Road At, 32, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPX,164500.0,0.0,2006-04-21,2007-03-02
"Road At, 32, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPX,0.0,0.0,2008-02-11,2008-06-26
"Road At, 32, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPX,0.0,0.0,2010-07-20,2011-03-11
"Road At, 32, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPX,0.0,180000.0,2010-09-28,2011-03-11
"Road At, 32, Erin Crescent, Port Erin, IM9 6FD",,36JW+FPX,180000.0,180000.0,2012-10-12,2012-11-12
"33, Ballahane Close, Port Erin, IM9 6EQ",,36JW+GCW,165000.0,0.0,2006-10-27,2007-06-29
"33, Ballahane Close, Port Erin, IM9 6EQ",,36JW+GCW,164000.0,164000.0,2007-07-24,2008-07-08
"33, Ballahane Close, Port Erin, IM9 6EQ",,36JW+GCW,198500.0,198500.0,2022-06-09,2022-08-03
"29, Ballahane Close, Port Erin, IM9 6EQ",,36JW+GFH,197000.0,197000.0,2021-11-03,2022-02-14
"31, Ballahane Close, Port Erin, IM9 6EQ",,36JW+GFM,150000.0,150000.0,2010-02-05,2010-07-28
"27, Ballahane Close, Port Erin, IM9 6EQ",,36JW+GHM,10000.0,132000.0,2016-06-29,2020-07-09
"28, Erin Crescent, Port Erin, IM9 6FD",,36JW+GRR,226500.0,226500.0,2008-04-28,2008-09-23
"28, Erin Crescent, Port Erin, IM9 6FD",,36JW+GRR,220000.0,220000.0,2014-06-27,2014-09-29
"28, Erin Crescent, Port Erin, IM9 6FD",,36JW+GRR,225000.0,225000.0,2019-10-30,2019-11-07
"37, Ballahane Close, Port Erin, IM9 6EQ",,36JW+H97,128000.0,128000.0,2017-09-19,2017-11-13
"25, Ballahane Close, Port Erin, IM9 6EQ",,36JW+HH4,150000.0,150000.0,2009-10-01,2009-12-14
"21, Ballahane Close, Port Erin, IM9 6EQ",,36JW+HJV,160000.0,160000.0,2007-07-20,2008-03-03
"21, Ballahane Close, Port Erin, IM9 6EQ",,36JW+HJV,154000.0,154000.0,2013-11-08,2014-02-06
"26, Erin Crescent, Port Erin, IM9 6FD",,36JW+HR4,175000.0,0.0,2005-10-10,2006-05-11
"26, Erin Crescent, Port Erin, IM9 6FD",,36JW+HR4,226000.0,226000.0,2009-08-21,2009-11-05
"26, Erin Crescent, Port Erin, IM9 6FD",,36JW+HR4,113000.0,226000.0,2014-08-11,2014-10-22
"26, Erin Crescent, Port Erin, IM9 6FD",,36JW+HR4,286500.0,286500.0,2022-08-30,2022-09-09
"24, Erin Crescent, Port Erin, IM9 6FD",,36JW+HRH,232500.0,232500.0,2010-10-22,2011-03-22
"22, Erin Crescent, Port Erin, IM9 6FD",,36JW+HVM,0.01,205000.0,2017-03-22,2017-09-26
"41, Ballahane Close, Port Erin, IM9 6EH",,36JW+J86,0.25,250000.0,2009-11-07,2010-03-22
"19, Ballahane Close, Port Erin, IM9 6EQ",,36JW+JJ5,158000.0,0.0,2006-03-31,2006-07-31
"19, Ballahane Close, Port Erin, IM9 6EQ",,36JW+JJ5,215000.0,215000.0,2021-10-22,2021-11-05
"17, Ballahane Close, Port Erin, IM9 6EQ",,36JW+JM7,168000.0,168000.0,2007-09-27,2008-02-12
"17, Ballahane Close, Port Erin, IM9 6EQ",,36JW+JM7,95000.0,190000.0,2023-04-28,2023-05-15
"15, Ballahane Close, Port Erin, IM9 6EG",,36JW+JPR,200000.0,200000.0,2016-07-15,2022-11-04
"15, Ballahane Close, Port Erin, IM9 6EG",,36JW+JPR,309950.0,309950.0,2022-11-24,2023-01-23
"20, Erin Crescent, Port Erin, IM9 6FD",,36JW+JW4,187500.0,187500.0,2015-01-16,2015-07-24
"20, Erin Crescent, Port Erin, IM9 6FD",,36JW+JW4,212000.0,212000.0,2019-04-29,2019-08-12
"16, Erin Crescent, Port Erin, IM9 6FD",,36JW+JXJ,157000.0,0.0,2006-06-08,2007-03-29
"16, Erin Crescent, Port Erin, IM9 6FD",,36JW+JXJ,170000.0,170000.0,2013-02-15,2013-07-24
"16, Erin Crescent, Port Erin, IM9 6FD",,36JW+JXJ,192500.0,192500.0,2020-07-14,2020-08-14
"14, Erin Crescent, Port Erin, IM9 6FD",,36JW+JXW,265000.0,265000.0,2022-02-04,2022-05-11
"47, Ballahane Close, Port Erin, IM9 6EH",,36JW+M33,425000.0,425000.0,2022-11-16,2023-02-27
"40, Ballahane Close, Port Erin, IM9 6EQ",,36JW+MFX,165000.0,165000.0,2007-05-25,2007-12-05
"Ailey Vie, 13, Ballahane Close, Port Erin, IM9 6EG",,36JW+MQC,0.25,266000.0,2012-12-31,2013-03-21
"Ailey Vie, 13, Ballahane Close, Port Erin, IM9 6EG",,36JW+MQC,0.25,266000.0,2013-12-31,2013-03-15
"50, Ballahane Close, Port Erin, IM9 6EH",,36JW+P3J,299995.0,299995.0,2020-11-11,2021-05-04
"50, Ballahane Close, Port Erin, IM9 6EH",,36JW+P3J,340000.0,340000.0,2021-11-05,2022-01-25
"42, Ballahane Close, Port Erin, IM9 6EH",,36JW+P9Q,200000.0,200000.0,2014-03-27,2014-06-27
"42, Ballahane Close, Port Erin, IM9 6EH",,36JW+P9Q,277000.0,277000.0,2021-03-01,2021-08-18
"36, Ballahane Close, Port Erin, IM9 6EQ",,36JW+PG7,151000.0,151000.0,2016-11-18,2017-03-02
"36, Ballahane Close, Port Erin, IM9 6EQ",,36JW+PG7,178000.0,178000.0,2021-02-15,2021-06-03
"34, Ballahane Close, Port Erin, IM9 6EQ",,36JW+PGP,157000.0,157000.0,2007-04-19,2007-11-21
"34, Ballahane Close, Port Erin, IM9 6EQ",,36JW+PGP,170000.0,170000.0,2012-06-01,2012-07-04
"32, Ballahane Close, Port Erin, IM9 6EQ",,36JW+PHR,173000.0,173000.0,2007-07-11,2007-12-05
"32, Ballahane Close, Port Erin, IM9 6EQ",,36JW+PHR,171000.0,171000.0,2013-02-28,2013-03-11
"11, Ballahane Close, Port Erin, IM9 6EG",,36JW+PR2,265000.0,265000.0,2022-01-06,2022-02-24
"9, Ballahane Close, Port Erin, IM9 6EG",,36JW+PVJ,265000.0,265000.0,2020-11-27,2021-02-12
"9, Ballahane Close, Port Erin, IM9 6EG",,36JW+PVJ,318000.0,318000.0,2022-04-25,2022-06-15
"46, Ballahane Close, Port Erin, IM9 6EH",,36JW+Q6Q,128737.66,257535.32,2015-12-17,2018-04-11
"46, Ballahane Close, Port Erin, IM9 6EH",,36JW+Q6Q,329000.0,329000.0,2020-07-30,2021-02-17
"22, Ballahane Close, Port Erin, IM9 6EG",,36JW+QJW,145000.0,145000.0,2013-05-01,2013-06-03
"22, Ballahane Close, Port Erin, IM9 6EG",,36JW+QJW,162000.0,162000.0,2019-08-23,2019-10-08
"7, Ballahane Close, Port Erin, IM9 6EG",,36JW+QV9,240000.0,240000.0,2017-06-19,2017-12-11
"12, Athol Court, Port Erin, IM9 6EJ",,36JW+R5P,224000.0,224000.0,2015-07-17,2016-01-19
"15, Athol Court, Port Erin, IM9 6EJ",,36JW+RCX,0.0,180000.0,2012-05-01,2013-12-13
"13, Athol Court, Port Erin, IM9 6EJ",,36JW+RFP,135000.0,223000.0,2023-01-04,2023-03-17
"30, Ballahane Close, Port Erin, IM9 6EG",,36JW+RG8,155000.0,155000.0,2012-11-30,2013-01-28
"30, Ballahane Close, Port Erin, IM9 6EG",,36JW+RG8,163000.0,163000.0,2019-08-02,2019-10-18
"26, Ballahane Close, Port Erin, IM9 6EG",,36JW+RH4,145000.0,0.0,2006-01-20,2006-05-10
"26, Ballahane Close, Port Erin, IM9 6EG",,36JW+RH4,10000.0,115000.0,2008-10-03,2009-07-02
